Company,Year,DPR,DivYield,ROE,Log_Assets,Beta
UL,2023,0.6725759210729151,0.05796774107830893,0.358358192464921,25.04429434255871,0.625746259761769
UL,2024,0.7519150417827298,0.05415673981191223,0.28734367183591797,25.102162578611367,0.38705519818817796
VZ,2022,0.5083270605946556,0.028458175305520438,0.23321337663477573,26.662594629633865,0.1666155135300902
VZ,2023,0.9492853452729464,0.028993701594982314,0.1256518446391864,26.66410791724328,0.7025776491274953
VZ,2024,0.6425796869644693,0.0292401309034574,0.17640597760915788,26.67575824000525,0.9874950028083254
WFC,2022,0.3870000731154493,0.0028138988421175745,0.07588763059918881,28.262835298833128,1.0413006900650594
WFC,2023,0.3097899905965939,0.003068614848991031,0.10306081244784236,28.28981905840931,1.1713279961654381
WFC,2024,0.3159922928709056,0.003229274889952302,0.1101049575703439,28.288460804739422,0.9280024291712672
WMT,2020,0.4527017024426351,0.024222165895697357,0.15434531765888657,26.25466124395219,0.3613743817177335
WMT,2021,0.44993783368682805,0.025124560973617576,0.14879585595977843,26.22395245559218,1.1076667086239398
WMT,2022,0.5234589041095891,0.025140112748101334,0.13906251860318367,26.217137651436023,0.7019094608041956
WMT,2023,0.39584810779446844,0.024326562308091552,0.1712579081604487,26.254277005640485,0.09848576762784715
WMT,2024,0.3441037250463058,0.025641910414342294,0.19895180772222903,26.287107853294433,1.2861659793022808
XOM,2020,-0.6624331550802139,0.04467317806160782,-0.13672089197587278,26.530657294221633,1.7129985380012085
XOM,2021,0.6477430555555556,0.04403360055233785,0.13114530148050751,26.549038779883904,0.05275825505794531
XOM,2022,0.26801219949766775,0.04047774523325033,0.2752959653879777,26.63424403632049,0.988721936286922
XOM,2023,0.4149125242988059,0.03970322892667618,0.16942852572245903,26.653697710246067,0.23170370231852178
XOM,2024,0.49596199524940615,0.036835547714868515,0.12446139405630326,26.840205978190443,0.5163753776414264
